Date,Close_Price
2024-01-01,101.49342830602247
2024-01-02,101.7168997036801
2024-01-03,103.51227677988147
2024-01-04,107.05833649269753
2024-01-05,107.09002974325085
2024-01-06,107.1217558293525
2024-01-07,110.78018146036729
2024-01-08,112.8150509186731
2024-01-09,112.37610214680319
2024-01-10,113.96122223397512
2024-01-11,113.5343868483502
2024-01-12,113.10292734120969
2024-01-13,114.08685188434175
2024-01-14,110.76029139502616
2024-01-15,107.81045573000009
2024-01-16,107.18588067151815
2024-01-17,105.6602184308493
2024-01-18,106.78871309603984
2024-01-19,105.47266494499743
2024-01-20,103.14805754232684
2024-01-21,106.57935508016995
2024-01-22,106.62780247919687
2024-01-23,107.26285888857272
2024-01-24,104.91336251614581
2024-01-25,104.32459706709545
2024-01-26,105.04644224651518
2024-01-27,103.24445509167057
2024-01-28,104.49585112836192
2024-01-29,103.79457374852431
2024-01-30,103.71118624893775
2024-01-31,103.00777302447896
2024-02-01,107.21232939349684
2024-02-02,107.68533494402097
2024-02-03,106.06991308610917
2024-02-04,108.21500291031555
2024-02-05,106.2733156103735
2024-02-06,107.19104280038302
2024-02-07,103.77170255262347
2024-02-08,101.6153304548266
2024-02-09,102.50905292656485
2024-02-10,104.48598608655567
2024-02-11,105.32872264893561
2024-02-12,105.59742608415912
2024-02-13,105.49521869298056
2024-02-14,103.03817471224569
2024-02-15,102.09848629545628
2024-02-16,101.6772087535367
2024-02-17,104.29145320597453
2024-02-18,105.47868978511146
2024-02-19,102.452609474386
2024-02-20,103.60077741317558
2024-02-21,103.33061285234295
2024-02-22,102.47676885173104
2024-02-23,104.20012142941276
2024-02-24,106.76212047440467
2024-02-25,109.12468071263706
2024-02-26,107.94624566619179
2024-02-27,107.82782091448937
2024-02-28,108.99034777729649
2024-02-29,111.44143803154121
